id,title,keywords,rating,solved
1901E ,Compressed Tree,"dfs and similar, dp, graphs, greedy, sortings, trees",2200,1071
1901D,Yet Another Monster Fight,"binary search, dp, greedy, implementation, math",1700,4843
1901C,"Add, Divide and Floor","constructive algorithms, greedy, math",1400,8635
1901B,Chip and Ribbon,"greedy, math",1100,11789
1901A,Line Trip,"greedy, math",800,17375
1900F,Local Deletions,"binary search, data structures, implementation",2800,180
1900E ,Transitive Graph,"dfs and similar, dp, dsu, graphs, implementation",2100,1445
1900D,Small GCD,"bitmasks, brute force, dp, math, number theory",2000,3018
1900C,Anji's Binary Tree,"dfs and similar, dp, trees",1300,8298
1900B,Laura and Operations,"dp, math",900,13055
1900A,Cover in Water,"constructive algorithms, greedy, implementation, strings",800,14988
1899G,Unusual Entertainment,"data structures, dfs and similar, dsu, shortest paths, sortings, trees, two pointers",1900,2401
1899F,Alex's whims,"constructive algorithms, graphs, greedy, shortest paths, trees",1600,5352
1899E ,Queue Sort,"greedy, implementation, sortings",1300,11239
1899D,Yarik and Musical Notes,"hashing, math, number theory",1300,9974
1899C,Yarik and Array,"dp, greedy, two pointers",1100,14424
1899B,250 Thousand Tons of TNT,"brute force, implementation, number theory",1100,14933
1899A,Game with Integers,"games, math, number theory",800,28303
1898F,Vova Escapes the Matrix,"brute force, dfs and similar, divide and conquer, shortest paths",2600,600
1898E ,Sofia and Strings,"data structures, greedy, sortings, strings, two pointers",2200,1730
1898D,Absolute Beauty,"greedy, math",1900,3918
1898C,Colorful Grid,constructive algorithms,1700,3987
1898B,Milena and Admirer,"greedy, math",1500,8273
1898A,Milica and String,"brute force, implementation, strings",800,13003
1896H2,Cyclic Hamming (Hard Version),"brute force, dp, fft, math, number theory",3500,44
1896H1,Cyclic Hamming (Easy Version),"brute force, divide and conquer, dp, fft, math, number theory",3400,40
1896G,Pepe Racing,"constructive algorithms, implementation, interactive, sortings",3200,151
1896F,Bracket Xoring,"constructive algorithms, greedy, implementation, math",2600,511
1896E ,Permutation Sorting,"data structures, sortings",2100,1652
1896D,Ones and Twos,"binary search, data structures, divide and conquer, math, two pointers",1700,4163
1896C,Matching Arrays,"binary search, constructive algorithms, greedy, sortings",1400,6850
1896B,AB Flipping,"greedy, strings, two pointers",900,10831
1896A,Jagged Swaps,sortings,800,12523
1895G,"Two Characters, Two Colors","binary search, data structures, dp, flows, greedy",3100,132
1895F,Fancy Arrays,"combinatorics, dp, math, matrices",2600,517
1895E ,Infinite Card Game,"binary search, brute force, data structures, dfs and similar, dp, dsu, games, graphs, greedy, sortings, two pointers",2300,1279
1895D,XOR Construction,"bitmasks, constructive algorithms, data structures, math, string suffix structures, trees",1900,4908
1895C,Torn Lucky Ticket,"brute force, dp, hashing, implementation, math",1400,8772
1895B,Points and Minimum Distance,"greedy, math, sortings",800,18200
1895A,Treasure Chest,math,800,21467
1894B,Two Out of Three,constructive algorithms,1000,12522
1894A,Secret Sport,"implementation, strings",800,16236
1893E ,Cacti Symphony,"combinatorics, dfs and similar, dp, graphs",3500,122
1893D,Colorful Constructive,"constructive algorithms, data structures, greedy",2600,715
1893C,Freedom of Choice,"brute force, greedy, implementation",2000,2072
1893B,Neutral Tonality,"constructive algorithms, greedy, sortings, two pointers",1700,6984
1893A,Anonymous Informant,"brute force, dfs and similar, graphs, implementation",1400,9535
1891F,A Growing Tree,"data structures, dfs and similar, trees",2000,2926
1891E ,Brukhovich and Exams,"brute force, greedy, implementation, math, sortings",2500,662
1891D,Suspicious logarithms,"binary search, brute force, math",1900,3346
1891C,Smilo and Monsters,"binary search, constructive algorithms, greedy, sortings, two pointers",1500,9224
1891B,Deja Vu,"brute force, math, sortings",1100,13293
1891A,Sorting with Twos,"constructive algorithms, sortings",800,16979
1890B,Qingshan Loves Strings,"constructive algorithms, implementation",800,15255
1890A,Doremy's Paint 3,constructive algorithms,800,16422
1889F,Doremy's Average Tree,"data structures, dp, greedy, trees",3500,48
1889E ,Doremy's Swapping Trees,"dfs and similar, graphs, trees",3500,39
1889D,Game of Stacks,"brute force, dfs and similar, graphs, implementation, trees",3000,416
1889C2,Doremy's Drying Plan (Hard Version),"data structures, dp",2600,761
1889C1,Doremy's Drying Plan (Easy Version),"brute force, data structures, dp, greedy, sortings",2000,2640
1889B,Doremy's Connecting Plan,"constructive algorithms, greedy, math, sortings",1700,5877
1889A,Qingshan Loves Strings 2,"constructive algorithms, greedy, implementation",1300,10459
1887F,Minimum Segments,constructive algorithms,3400,90
1887E ,Good Colorings,"binary search, constructive algorithms, graphs, interactive",3100,229
1887D,Split,"binary search, data structures, divide and conquer, dsu, math, trees, two pointers",2700,693
1887C,Minimum Array,"binary search, brute force, constructive algorithms, data structures, greedy, hashing, two pointers",2400,1339
1887B,Time Travel,"binary search, graphs, shortest paths",1900,2256
1886F,Diamond Theft,"data structures, greedy",3300,137
1886E ,I Wanna be the Team Leader,"bitmasks, constructive algorithms, dp, greedy, math, sortings, two pointers",2400,1187
1886D,Monocarp and the Set,"combinatorics, data structures, math",2100,3018
1886C,Decreasing String,"implementation, strings",1600,8878
1886B,Fear of the Dark,"binary search, geometry, math",1200,13624
1886A,Sum of Three,"brute force, constructive algorithms, math",800,22580
1885A,Deterministic Scheduling for Extended Reality over 5G and Beyond,*special problem,,0
1884E ,Hard Design,"greedy, implementation, math",2800,221
1884D,Counting Rhyme,"dp, math, number theory",2100,2384
1884C,Medium Design,"brute force, data structures, dp, greedy, sortings",1700,4626
1884B,Haunted House,"binary search, greedy, math, two pointers",1100,10112
1884A,Simple Design,"brute force, greedy, math",800,14877
1883G2,Dances (Hard Version),"binary search, greedy, sortings, two pointers",1900,4168
1883G1,Dances (Easy version),"binary search, greedy, two pointers",1400,7276
1883F,You Are So Beautiful,data structures,1400,6536
1883E ,Look Back,"bitmasks, greedy",1700,5746
1883D,In Love,"data structures, greedy",1500,8040
1883C,Raspberries,"dp, math",1000,17572
1883B,Chemistry,strings,900,20752
1883A,Morning,math,800,20926
1882E 2,Two Permutations (Hard Version),constructive algorithms,3100,238
1882E 1,Two Permutations (Easy Version),"brute force, constructive algorithms, greedy, number theory",2400,863
1882D,Tree XOR,"bitmasks, dfs and similar, dp, greedy, trees",1900,4369
1882C,Card Game,"brute force, greedy",1500,9937
1882B,Sets and Union,"bitmasks, brute force, constructive algorithms, greedy",1300,12864
1882A,Increasing Sequence,greedy,800,22832
1881G,Anya and the Mysterious String,"binary search, data structures",2000,1896
1881F,Minimum Maximum Distance,"dfs and similar, dp, graphs, shortest paths, trees",1700,4971
1881E ,Block Sequence,dp,1500,9521
